日期,成分股代码
2025-06-30,000100
2025-06-30,000301
2025-06-30,000568
2025-06-30,000596
2025-06-30,000625
2025-06-30,000792
2025-06-30,000858
2025-06-30,002050
2025-06-30,002179
2025-06-30,002311
2025-06-30,002371
2025-06-30,002460
2025-06-30,002463
2025-06-30,002475
2025-06-30,002594
2025-06-30,002714
2025-06-30,300014
2025-06-30,300015
2025-06-30,300124
2025-06-30,300274
2025-06-30,300308
2025-06-30,300498
2025-06-30,300502
2025-06-30,300750
2025-06-30,300760
2025-06-30,300896
2025-06-30,600009
2025-06-30,600011
2025-06-30,600023
2025-06-30,600089
2025-06-30,600150
2025-06-30,600188
2025-06-30,600436
2025-06-30,600438
2025-06-30,600519
2025-06-30,600547
2025-06-30,600660
2025-06-30,600760
2025-06-30,600795
2025-06-30,600809
2025-06-30,600905
2025-06-30,600938
2025-06-30,601127
2025-06-30,601225
2025-06-30,601336
2025-06-30,601600
2025-06-30,601633
2025-06-30,601689
2025-06-30,601816
2025-06-30,601857
2025-06-30,601899
2025-06-30,601919
2025-06-30,603195
2025-06-30,603259
2025-06-30,603501
2025-06-30,603993
2025-06-30,605499
2025-06-30,688008
2025-06-30,688012
2025-06-30,688036
2025-06-30,688041
2025-06-30,688111
2025-06-30,688223
2025-06-30,688271
2025-06-30,688506
2025-06-30,688981
